frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
245,8.0,[1135.1068318349494 1088.5567156586837 1619.2880311004233 1506.7088038198287],[1302.838623046875 1323.754150390625 1445.662353515625 1400.877685546875],0.39643150568008423,KH05ZTK,0.2666190478018178
246,8.0,[1133.9196599997072 1090.0109935839878 1619.3987272032386 1509.3490234168626],[1301.2547607421875 1323.427734375 1450.87646484375 1403.21923828125],0.3596564829349518,KH05ZTK,0.7106762429503057
247,8.0,[1133.1779863758009 1090.3271871831098 1619.5790437493986 1510.4943675120844],[1301.2244873046875 1323.3519287109375 1450.9736328125 1403.2218017578125],0.3651770055294037,KH05ZTK,0.7106762429503057
248,8.0,[1131.6730368623366 1091.2184982235465 1619.0565514592108 1512.3498083530128],[1305.6278076171875 1323.4061279296875 1445.0589599609375 1401.738525390625],0.3141482472419739,KH05ZTX,0.19517113633293634
249,8.0,[1130.8956046752141 1093.5803564600246 1619.0714080146236 1515.6115107194973],[1301.310546875 1327.2298583984375 1440.3175048828125 1405.698974609375],0.36441153287887573,KH05ZZX,0.2819772431426056
250,1.0,[2043.260352707619 1182.6683937108317 2593.243674281901 1647.4274489129273],[2229.57568359375 1459.468994140625 2452.70068359375 1557.72705078125],0.332596093416214,AP05JEO,0.22894376775426503
250,8.0,[1129.945482371445 1093.484060732002 1618.6313928062268 1516.864615227773],[1300.5853271484375 1336.03173828125 1447.3743896484375 1415.712158203125],0.30311182141304016,XK05ZZK,0.19294812411161297
251,6.0,[856.6164327881015 1575.8331415614093 1646.404055032791 2152.6462060662593],[1123.2125244140625 1958.426513671875 1348.6707763671875 2057.6015625],0.4787399172782898,GY15OGJ,0.4549844383104661
251,1.0,[2044.8004617456277 1184.32787914607 2594.0492020099014 1649.384248157491],[2224.26806640625 1475.335693359375 2442.531982421875 1556.873291015625],0.28494688868522644,AP05JEO,0.284420393086563
252,6.0,[853.6738925171804 1582.5414293006193 1645.7621935987254 2153.798092000206],[1127.4471435546875 1968.8851318359375 1341.77099609375 2072.8720703125],0.5545373558998108,GX15OGJ,0.18662730348132392
253,6.0,[852.5419518077647 1585.905617080976 1646.037539124873 2153.13758768489],[1127.395751953125 1968.8323974609375 1342.0308837890625 2072.88818359375],0.5553064942359924,GX15OGJ,0.18662730348132392
254,6.0,[850.4459945975677 1590.1812023710304 1644.6468814948703 2152.655512440709],[1124.1961669921875 1972.754150390625 1343.3192138671875 2078.96044921875],0.5408848524093628,GX15OGJ,0.490384170991383
254,1.0,[2050.2887001721883 1187.5625996563385 2596.9135191847145 1655.1803307465962],[2229.029541015625 1458.53515625 2446.62548828125 1556.6339111328125],0.3548615574836731,AP05JEO,0.38292365165731373
255,8.0,[1123.8611579066219 1093.808493200827 1617.44365176371 1522.8158775422517],[1289.53564453125 1339.21142578125 1441.8564453125 1416.8258056640625],0.39546042680740356,YH05ZZK,0.02925977249336333
255,1.0,[2050.8839462911596 1187.2595391037974 2596.7862448707833 1656.6929149930195],[2226.2900390625 1465.1019287109375 2451.44287109375 1563.7701416015625],0.38429099321365356,AP05JEO,0.3638881011465064
256,6.0,[845.0273298468102 1598.9128524010916 1641.6100143284007 2151.282523651884],[1105.039306640625 1974.112060546875 1335.2633056640625 2090.87939453125],0.5849443078041077,GX15OGJ,0.30817591540305317
257,6.0,[841.0899967901785 1603.9964459126786 1640.4666866139826 2151.3208342792464],[1112.65625 1984.408447265625 1338.5240478515625 2098.617919921875],0.6303257942199707,GX15OGJ,0.346092646598723
257,8.0,[1120.3895326455129 1098.4151481666097 1616.6533402384073 1529.303816526353],[1283.0804443359375 1343.08740234375 1429.910888671875 1421.0228271484375],0.28249073028564453,KK05ZZK,0.45033635860049986
257,13.0,[2240.936426813191 1618.1736638066243 2971.5884206447686 2153.083380751241],[2536.1103515625 1981.3060302734375 2735.448486328125 2075.1318359375],0.26307862997055054,LM13VCV,0.3566322202851163
258,6.0,[838.9143196181378 1606.0798635153005 1640.2878068886369 2149.6860065339474],[1109.81103515625 1984.6322021484375 1339.634521484375 2099.65380859375],0.6284281015396118,GX15OGJ,0.3296948519153744
258,1.0,[2051.460252610884 1193.1161996424069 2596.7427318082064 1666.1379379554294],[2243.81298828125 1474.2509765625 2440.68212890625 1566.021240234375],0.2743489742279053,AP05JEO,0.21366011368014057
258,13.0,[2240.510036863167 1619.9724364644992 2974.0140862025496 2150.002984870872],[2524.9921875 1982.6063232421875 2727.207275390625 2078.6025390625],0.25095894932746887,LM13VCV,0.5373073732394013
259,6.0,[837.8823377409174 1607.329457145492 1640.806630100342 2148.246668528949],[1109.90283203125 1984.78759765625 1339.5489501953125 2099.655517578125],0.6282269954681396,GX15OGJ,0.3296948519153744
259,1.0,[2051.0407136629156 1193.9086529790252 2596.7901237119186 1667.55808558636],[2243.930419921875 1474.288330078125 2440.69189453125 1566.024169921875],0.2762046754360199,AP05JEO,0.21366011368014057
259,13.0,[2239.7195166694005 1621.3634162691008 2975.1163660078923 2147.8486051845116],[2524.96826171875 1982.5535888671875 2727.281494140625 2078.638916015625],0.2504555583000183,LM13VCV,0.5722524299095422
